title,description,published date,url,publisher,date
"Google Maps Sending Drivers on Steep Tractor Road, Cars Almost ... - autoevolution","Google Maps Sending Drivers on Steep Tractor Road, Cars Almost ...  autoevolution","Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmF1dG9ldm9sdXRpb24uY29tL25ld3MvZ29vZ2xlLW1hcHMtc2VuZGluZy1kcml2ZXJzLW9uLXN0ZWVwLXRyYWN0b3Itcm9hZC1jYXJzLWFsbW9zdC1yb2xsaW5nLW9mZi0xNDg1NjAuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.autoevolution.com', 'title': 'autoevolution'}",2020-09-11
Ex-Google boss Eric Schmidt: US 'dropped the ball' on innovation - BBC,Ex-Google boss Eric Schmidt: US 'dropped the ball' on innovation  BBC,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jby51ay9uZXdzL2J1c2luZXNzLTU0MTAwMDAx0gEwaHR0cHM6Ly93d3cuYmJjLmNvLnVrL25ld3MvYnVzaW5lc3MtNTQxMDAwMDEuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bbc.co.uk', 'title': 'BBC'}",2020-09-11
Pixel 3 batteries are swelling up — and that could spell trouble for ... - TNW,Pixel 3 batteries are swelling up — and that could spell trouble for ...  TNW,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vdGhlbmV4dHdlYi5jb20vbmV3cy9nb29nbGUtcGl4ZWwtMy0zeGwtYmF0dGVyeS1zd29sbGVu0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thenextweb.com', 'title': 'TNW'}",2020-09-11
Google Store renders reveal the blue Pixel 4A that never was - The Verge,Google Store renders reveal the blue Pixel 4A that never was  The Verge,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIwLzkvMTEvMjE0MzI2NzMvZ29vZ2xlLXBpeGVsLTRhLWNhbmNlbGVkLWJsdWUtY29sb3ItcmVuZGVyc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}",2020-09-11
Google Pixel 3 Owners Latest To Report Of Swollen Batteries Destroying Their Phones - Hot Hardware,Google Pixel 3 Owners Latest To Report Of Swollen Batteries Destroying Their Phones  Hot Hardware,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vaG90aGFyZHdhcmUuY29tL25ld3MvZ29vZ2xlLXBpeGVsLTMtb3duZXJzLWxhdGVzdC10by1yZXBvcnQtb2Ytc3dvbGxlbi1iYXR0ZXJpZXPSAVxodHRwczovL2FtcC5ob3RoYXJkd2FyZS5jb20vbmV3cy9nb29nbGUtcGl4ZWwtMy1vd25lcnMtbGF0ZXN0LXRvLXJlcG9ydC1vZi1zd29sbGVuLWJhdHRlcmllcw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hothardware.com', 'title': 'Hot Hardware'}",2020-09-11
iOS 14: How to Set Google Chrome as the Default Browser on ... - MacRumors,iOS 14: How to Set Google Chrome as the Default Browser on ...  MacRumors,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3Lm1hY3J1bW9ycy5jb20vaG93LXRvL2dvb2dsZS1jaHJvbWUtZGVmYXVsdC1icm93c2VyLWlvcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}",2020-09-11
Google Fiber outage Austin Sept. 11 - KVUE.com,Google Fiber outage Austin Sept. 11  KVUE.com,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lmt2dWUuY29tL2FydGljbGUvbmV3cy9sb2NhbC9nb29nbGUtZmliZXItb3V0YWdlLWF1c3Rpbi8yNjktNDg3NmY1NWItZjk1ZS00MDlhLWFhNTgtYTZhM2E5NmEyM2Rk0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.kvue.com', 'title': 'KVUE.com'}",2020-09-11
Google Maps is back on Apple Watch — how to get it now - Tom's Guide,Google Maps is back on Apple Watch — how to get it now  Tom's Guide,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LnRvbXNndWlkZS5jb20vbmV3cy9nb29nbGUtbWFwcy1pcy1iYWNrLW9uLWFwcGxlLXdhdGNoLWhvdy10by1nZXQtaXQtbm930gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.tomsguide.com', 'title': ""Tom's Guide""}",2020-09-11
"New Google Nest Thermostat hits the FCC, possibly with air gesture controls - Ars Technica","New Google Nest Thermostat hits the FCC, possibly with air gesture controls  Ars Technica","Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhZGdldHMvMjAyMC8wOS9uZXctZ29vZ2xlLW5lc3QtdGhlcm1vc3RhdC1oaXRzLXRoZS1mY2MtcG9zc2libHktd2l0aC1haXItZ2VzdHVyZS1jb250cm9scy_SAXdodHRwczovL2Fyc3RlY2huaWNhLmNvbS9nYWRnZXRzLzIwMjAvMDkvbmV3LWdvb2dsZS1uZXN0LXRoZXJtb3N0YXQtaGl0cy10aGUtZmNjLXBvc3NpYmx5LXdpdGgtYWlyLWdlc3R1cmUtY29udHJvbHMvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://arstechnica.com', 'title': 'Ars Technica'}",2020-09-11
Google and SoFi Stadium and Hollywood Park Sign Multi-Year ... - PR Newswire,Google and SoFi Stadium and Hollywood Park Sign Multi-Year ...  PR Newswire,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiygFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2dvb2dsZS1hbmQtc29maS1zdGFkaXVtLWFuZC1ob2xseXdvb2QtcGFyay1zaWduLW11bHRpLXllYXItcGFydG5lcnNoaXAtdG8tcG93ZXItZGlnaXRhbC1pbm5vdmF0aW9uLWFuZC1wZXJzb25hbGl6ZWQtZmFuLWV4cGVyaWVuY2VzLXdpdGgtdGhlLWNsb3VkLTMwMTEyODEzOS5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.prnewswire.com', 'title': 'PR Newswire'}",2020-09-11
How to Use Incognito Mode on the Google Maps App - Business Insider,How to Use Incognito Mode on the Google Maps App  Business Insider,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZ3VpZGVzL3RlY2gvaG93LXRvLWdvLWluY29nbml0by1vbi1nb29nbGUtbWFwc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}",2020-09-11
How to Order Food From Google Maps on Desktop or Mobile - Business Insider,How to Order Food From Google Maps on Desktop or Mobile  Business Insider,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZ3VpZGVzL3RlY2gvaG93LXRvLW9yZGVyLWZyb20tZ29vZ2xlLW1hcHPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}",2020-09-11
Google search website commemorates 30th anniversary of 'Fresh ... - USA TODAY,Google search website commemorates 30th anniversary of 'Fresh ...  USA TODAY,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoLzIwMjAvMDkvMTEvZ29vZ2xlLWNvbS10cmFuc2Zvcm1zLWZyZXNoLXByaW5jZS1iZWwtYWlyLTMwdGgtYW5uaXZlcnNhcnkvMzQ2NzI2NzAwMS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}",2020-09-11
Google My Business Gains More New Attributes for Listings - Search Engine Journal,Google My Business Gains More New Attributes for Listings  Search Engine Journal,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNlYXJjaGVuZ2luZWpvdXJuYWwuY29tL2dvb2dsZS1teS1idXNpbmVzcy1nYWlucy1tb3JlLW5ldy1hdHRyaWJ1dGVzLWZvci1saXN0aW5ncy8zODA2MDIv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.searchenginejournal.com', 'title': 'Search Engine Journal'}",2020-09-11
Google is adding over 2 dozen animals to its AR zoo - Digital Information World,Google is adding over 2 dozen animals to its AR zoo  Digital Information World,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmRpZ2l0YWxpbmZvcm1hdGlvbndvcmxkLmNvbS8yMDIwLzA5L2dvb2dsZS1pcy1hZGRpbmctb3Zlci0yLWRvemVuLWFuaW1hbHMtdG8taXRzLWFyLXpvby5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.digitalinformationworld.com', 'title': 'Digital Information World'}",2020-09-11
Google trabaja en un sistema P2P para compartir aplicaciones entre ... - Europa Press,Google trabaja en un sistema P2P para compartir aplicaciones entre ...  Europa Press,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5ldXJvcGFwcmVzcy5lcy9wb3J0YWx0aWMvc29mdHdhcmUvbm90aWNpYS1nb29nbGUtdHJhYmFqYS1zaXN0ZW1hLXAycC1jb21wYXJ0aXItYXBsaWNhY2lvbmVzLXVzdWFyaW9zLXBsYXktc3RvcmUtMjAyMDA5MTExNzA1NDMuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.europapress.es', 'title': 'Europa Press'}",2020-09-11
Google Now Allows Sharing To Non-Google Accounts On G Suite - We are Social Media,Google Now Allows Sharing To Non-Google Accounts On G Suite  We are Social Media,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd2Vyc20uY29tL2dvb2dsZS1ub3ctYWxsb3dzLXNoYXJpbmctdG8tbm9uLWdvb2dsZS1hY2NvdW50cy1vbi1nLXN1aXRlL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://wersm.com', 'title': 'We are Social Media'}",2020-09-10
How to make phone calls with Alexa and Google speakers - USA TODAY,How to make phone calls with Alexa and Google speakers  USA TODAY,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoLzIwMjAvMDkvMTAvaG93LW1ha2UtZnJlZS1waG9uZS1jYWxscy1nb29nbGUtYW5kLWFsZXhhLXNwZWFrZXJzLzU3NTk5MjAwMDIv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}",2020-09-10
Google now uses BERT to match stories with fact checks - Search Engine Land,Google now uses BERT to match stories with fact checks  Search Engine Land,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20vcmVjZW50LWNoYW5nZXMtdG8taW1wcm92ZS1yZWxldmFuY2UtYW5kLXJlbGlhYmlsaXR5LW9mLWdvb2dsZS1zZWFyY2gtMzQwNDY10gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://searchengineland.com', 'title': 'Search Engine Land'}",2020-09-10
Google Unveils Fundo for Monetizing Video Events - Search Engine Journal,Google Unveils Fundo for Monetizing Video Events  Search Engine Journal,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LnNlYXJjaGVuZ2luZWpvdXJuYWwuY29tL2dvb2dsZS1mdW5kby8zODA0MDQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.searchenginejournal.com', 'title': 'Search Engine Journal'}",2020-09-10
"Don’t click on that Google photo album link, it’s a scam - FOX19","Don’t click on that Google photo album link, it’s a scam  FOX19","Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmZveDE5LmNvbS8yMDIwLzA5LzEwL2JiYi13YXJucy1nb29nbGUtcGhvdG8tYWxidW0tc2NhbS_SAVJodHRwczovL3d3dy5mb3gxOS5jb20vMjAyMC8wOS8xMC9iYmItd2FybnMtZ29vZ2xlLXBob3RvLWFsYnVtLXNjYW0vP291dHB1dFR5cGU9YW1w?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fox19.com', 'title': 'FOX19'}",2020-09-10
How to Use Google's Call Recording to Listen to Your Call Ads - Search Engine Journal,How to Use Google's Call Recording to Listen to Your Call Ads  Search Engine Journal,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnNlYXJjaGVuZ2luZWpvdXJuYWwuY29tL2hvdy10by11c2UtZ29vZ2xlcy1jYWxsLXJlY29yZGluZy10by1saXN0ZW4tdG8teW91ci1jYWxsLWFkcy8zNzg4NjEv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.searchenginejournal.com', 'title': 'Search Engine Journal'}",2020-09-10
"Google Play Store May Get P2P App Sharing, Redesigned My Apps & Games Section - Beebom","Google Play Store May Get P2P App Sharing, Redesigned My Apps & Games Section  Beebom","Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYmVlYm9tLmNvbS9nb29nbGUtcGxheS1zdG9yZS1wMnAtYXBwLXNoYXJpbmctcmVkZXNpZ25lZC1teS1hcHBzLWdhbWVzL9IBUmh0dHBzOi8vYmVlYm9tLmNvbS9nb29nbGUtcGxheS1zdG9yZS1wMnAtYXBwLXNoYXJpbmctcmVkZXNpZ25lZC1teS1hcHBzLWdhbWVzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://beebom.com', 'title': 'Beebom'}",2020-09-10
Ex-Google CEO Eric Schmidt Buys $31 Million Santa Barbara Mansion - Yahoo Finance,Ex-Google CEO Eric Schmidt Buys $31 Million Santa Barbara Mansion  Yahoo Finance,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9leC1nb29nbGUtY2VvLWVyaWMtc2NobWlkdC0yMDEzMzQ3MzcuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",2020-09-10
Google Pixel 4a pre-orders now open in 8 more countries - GSMArena.com,Google Pixel 4a pre-orders now open in 8 more countries  GSMArena.com,"Fri, 11 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmdzbWFyZW5hLmNvbS9nb29nbGVfcGl4ZWxfNGFfcHJlb3JkZXJzX25vd19vcGVuX2luXzhfbW9yZV9jb3VudHJpZXMtbmV3cy00NTIxOS5waHDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.gsmarena.com', 'title': 'GSMArena.com'}",2020-09-10
Google Chrome's new Tab Groups feature now available for everyone - BleepingComputer,Google Chrome's new Tab Groups feature now available for everyone  BleepingComputer,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJsZWVwaW5nY29tcHV0ZXIuY29tL25ld3MvZ29vZ2xlL2dvb2dsZS1jaHJvbWVzLW5ldy10YWItZ3JvdXBzLWZlYXR1cmUtbm93LWF2YWlsYWJsZS1mb3ItZXZlcnlvbmUv0gFyaHR0cHM6Ly93d3cuYmxlZXBpbmdjb21wdXRlci5jb20vbmV3cy9nb29nbGUvZ29vZ2xlLWNocm9tZXMtbmV3LXRhYi1ncm91cHMtZmVhdHVyZS1ub3ctYXZhaWxhYmxlLWZvci1ldmVyeW9uZS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}",2020-09-10
AI Based Learning App QANDA Reached Top 2 on Indonesian ... - Business Wire,AI Based Learning App QANDA Reached Top 2 on Indonesian ...  Business Wire,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDkxMDAwNTAzNS9lbi9BSS1CYXNlZC1MZWFybmluZy1BcHAtUUFOREEtUmVhY2hlZC1Ub3AtMi1vbi1JbmRvbmVzaWFuLUdvb2dsZS1QbGF5LVN0b3Jl0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.businesswire.com', 'title': 'Business Wire'}",2020-09-10
The best Google Pixel 4a deals available right now - Stuff,The best Google Pixel 4a deals available right now  Stuff,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3LnN0dWZmLnR2L2ZlYXR1cmVzL2Jlc3QtZ29vZ2xlLXBpeGVsLTRhLWRlYWxzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.stuff.tv', 'title': 'Stuff'}",2020-09-10
Hun blir sjef i Google Norge – E24 - E24,Hun blir sjef i Google Norge – E24  E24,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vZTI0Lm5vL25hZXJpbmdzbGl2L2kvUFIzUlA1L2h1bi1ibGlyLXNqZWYtaS1nb29nbGUtbm9yZ2XSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://e24.no', 'title': 'E24'}",2020-09-10
It’s Official: Google Maps Has Returned to the Apple Watch - iDrop News,It’s Official: Google Maps Has Returned to the Apple Watch  iDrop News,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Lmlkcm9wbmV3cy5jb20vbmV3cy9pdHMtb2ZmaWNpYWwtZ29vZ2xlLW1hcHMtaGFzLXJldHVybmVkLXRvLXRoZS1hcHBsZS13YXRjaC8xNDI2NTAv0gFjaHR0cHM6Ly93d3cuaWRyb3BuZXdzLmNvbS9uZXdzL2l0cy1vZmZpY2lhbC1nb29nbGUtbWFwcy1oYXMtcmV0dXJuZWQtdG8tdGhlLWFwcGxlLXdhdGNoLzE0MjY1MC9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.idropnews.com', 'title': 'iDrop News'}",2020-09-10
The Latest iPhone Update Could Be Bad News for Google Maps ... - autoevolution,The Latest iPhone Update Could Be Bad News for Google Maps ...  autoevolution,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmF1dG9ldm9sdXRpb24uY29tL25ld3MvdGhlLWxhdGVzdC1pcGhvbmUtdXBkYXRlLWNvdWxkLWJlLWJhZC1uZXdzLWZvci1nb29nbGUtbWFwcy1hbmQtY2FycGxheS11c2Vycy0xNDg1MTAuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.autoevolution.com', 'title': 'autoevolution'}",2020-09-10
"এবার Google-ই বলে দেবে কে ফোন করেছে আপনাকে, জেনে নিন কীভাবে - Sangbad Pratidin","এবার Google-ই বলে দেবে কে ফোন করেছে আপনাকে, জেনে নিন কীভাবে  Sangbad Pratidin","Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5zYW5nYmFkcHJhdGlkaW4uaW4vbGlmZXN0eWxlL3RlY2gvZ29vZ2xlLWFubm91bmNlcy12ZXJpZmllZC1jYWxscy10by1zaG93LWdlbnVpbmUtYnVzaW5lc3MtY2FsbGVycy1pbmRpYS1pbi1maXJzdC1yb2xsb3V0L9IBgwFodHRwczovL20uc2FuZ2JhZHByYXRpZGluLmluL2FydGljbGUvZ29vZ2xlLWFubm91bmNlcy12ZXJpZmllZC1jYWxscy10by1zaG93LWdlbnVpbmUtYnVzaW5lc3MtY2FsbGVycy1pbmRpYS1pbi1maXJzdC1yb2xsb3V0LzQ1OTEwMw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.sangbadpratidin.in', 'title': 'Sangbad Pratidin'}",2020-09-10
How to create and change Google account pin: Step-by-step guide - India Today,How to create and change Google account pin: Step-by-step guide  India Today,"Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vaW5mb3JtYXRpb24vc3RvcnkvaG93LXRvLWNyZWF0ZS1nb29nbGUtYWNjb3VudC1waW4tc3RlcC1ieS1zdGVwLWd1aWRlLTE3MjA1MTctMjAyMC0wOS0xMNIBdmh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYW1wL2luZm9ybWF0aW9uL3N0b3J5L2hvdy10by1jcmVhdGUtZ29vZ2xlLWFjY291bnQtcGluLXN0ZXAtYnktc3RlcC1ndWlkZS0xNzIwNTE3LTIwMjAtMDktMTA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.indiatoday.in', 'title': 'India Today'}",2020-09-10
Judge dismisses lawsuit alleging University of Chicago Medical ... - Chicago Tribune,Judge dismisses lawsuit alleging University of Chicago Medical ...  Chicago Tribune,"Wed, 09 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMinAFodHRwczovL3d3dy5jaGljYWdvdHJpYnVuZS5jb20vYnVzaW5lc3MvY3QtYml6LXVuaXZlcnNpdHktb2YtY2hpY2Fnby1nb29nbGUtbGF3c3VpdC1kaXNtaXNzZWQtcGF0aWVudC1wcml2YWN5LTIwMjAwOTA5LWxib2t0dHN2NnJkYzVhZWVuMnEzN25hYWR5LXN0b3J5Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.chicagotribune.com', 'title': 'Chicago Tribune'}",2020-09-09
Google Expands Memory Encryption to Kubernetes - EnterpriseAI,Google Expands Memory Encryption to Kubernetes  EnterpriseAI,"Wed, 09 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmVudGVycHJpc2VhaS5uZXdzLzIwMjAvMDkvMDkvZ29vZ2xlLWV4cGFuZHMtbWVtb3J5LWVuY3J5cHRpb24tdG8ta3ViZXJuZXRlcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.enterpriseai.news', 'title': 'EnterpriseAI'}",2020-09-09
Google SEO Mythbusting: Is More Content Better? - Search Engine Journal,Google SEO Mythbusting: Is More Content Better?  Search Engine Journal,"Wed, 09 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnNlYXJjaGVuZ2luZWpvdXJuYWwuY29tL2dvb2dsZS1zZW8tbXl0aGJ1c3RpbmctaXMtbW9yZS1jb250ZW50LWJldHRlci8zODAzNTAv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.searchenginejournal.com', 'title': 'Search Engine Journal'}",2020-09-09
Google Squashes Critical Android Media Framework Bug - Threatpost,Google Squashes Critical Android Media Framework Bug  Threatpost,"Wed, 09 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vdGhyZWF0cG9zdC5jb20vZ29vZ2xlLWNyaXRpY2FsLWJ1Zy1hbmRyb2lkLzE1OTA4Ni_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://threatpost.com', 'title': 'Threatpost'}",2020-09-09
"Google Now Lets You Collaborate on Microsoft Word, Excel or PPT Files on Android - Beebom","Google Now Lets You Collaborate on Microsoft Word, Excel or PPT Files on Android  Beebom","Thu, 10 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vYmVlYm9tLmNvbS9nb29nbGUtY29sbGFib3JhdGUtbWljcm9zb2Z0LXdvcmQtZXhjZWwtcHB0LWZpbGVzLW9uLWFuZHJvaWQv0gFUaHR0cHM6Ly9iZWVib20uY29tL2dvb2dsZS1jb2xsYWJvcmF0ZS1taWNyb3NvZnQtd29yZC1leGNlbC1wcHQtZmlsZXMtb24tYW5kcm9pZC9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://beebom.com', 'title': 'Beebom'}",2020-09-09
"Google abandons new Dublin office with enough space for 2,000 staff - CNBC","Google abandons new Dublin office with enough space for 2,000 staff  CNBC","Wed, 09 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDkvMDkvZ29vZ2xlLWFiYW5kb25zLWR1Ymxpbi1vZmZpY2Utd2l0aC1zcGFjZS1mb3ItMjAwMC1zdGFmZi5odG1s0gFgaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjAvMDkvMDkvZ29vZ2xlLWFiYW5kb25zLWR1Ymxpbi1vZmZpY2Utd2l0aC1zcGFjZS1mb3ItMjAwMC1zdGFmZi5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",2020-09-09
"Google's Waze lays off 5 percent of its workforce, closes offices in ... - The Verge","Google's Waze lays off 5 percent of its workforce, closes offices in ...  The Verge","Wed, 09 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIwLzkvOS8yMTQyODkwNy93YXplLWxheW9mZi1wYW5kZW1pYy1nb29nbGUtbmF2aWdhdGlvbi1kcml2aW5n0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}",2020-09-09
