title,description,published date,url,publisher,date
How to manage your Google Drive storage? - Candid.Technology,How to manage your Google Drive storage?  Candid.Technology,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vY2FuZGlkLnRlY2hub2xvZ3kvbWFuYWdlLWdvb2dsZS1kcml2ZS1zdG9yYWdlLWd1aWRlLXRpcHMtdHJpY2tzL9IBTmh0dHBzOi8vY2FuZGlkLnRlY2hub2xvZ3kvbWFuYWdlLWdvb2dsZS1kcml2ZS1zdG9yYWdlLWd1aWRlLXRpcHMtdHJpY2tzLz9hbXA9MQ?oc=5,"{'href': 'https://candid.technology', 'title': 'Candid.Technology'}",2020-06-01
5 more hidden Pixel features worth finding - Computerworld,5 more hidden Pixel features worth finding  Computerworld,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LmNvbXB1dGVyd29ybGQuY29tL2FydGljbGUvMzU0NjMwMS9tb3JlLXBpeGVsLWZlYXR1cmVzLmh0bWzSAUpodHRwczovL3d3dy5jb21wdXRlcndvcmxkLmNvbS9hcnRpY2xlLzM1NDYzMDEvbW9yZS1waXhlbC1mZWF0dXJlcy5hbXAuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}",2020-06-01
Twitter names ex-Google CFO Patrick Pichette as new board chairman - CNBC,Twitter names ex-Google CFO Patrick Pichette as new board chairman  CNBC,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDYvMDIvdHdpdHRlci1uYW1lcy1leC1nb29nbGUtY2ZvLXBhdHJpY2stcGljaGV0dGUtYXMtbmV3LWJvYXJkLWNoYWlybWFuLmh0bWzSAWtodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMC8wNi8wMi90d2l0dGVyLW5hbWVzLWV4LWdvb2dsZS1jZm8tcGF0cmljay1waWNoZXR0ZS1hcy1uZXctYm9hcmQtY2hhaXJtYW4uaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",2020-06-01
Google's latest Android features are too vital to be Pixel-only - PCWorld,Google's latest Android features are too vital to be Pixel-only  PCWorld,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnBjd29ybGQuY29tL2FydGljbGUvMzk5MjMyL2dvb2dsZS1waXhlbC1qdW5lLWZlYXR1cmUtZHJvcC1saW1pdGVkLWFuZHJvaWQtcGhvbmVzLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.pcworld.com', 'title': 'PCWorld'}",2020-06-01
Google Australia chief enters ad revenue funding fight - Mobile World Live,Google Australia chief enters ad revenue funding fight  Mobile World Live,"Mon, 01 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lm1vYmlsZXdvcmxkbGl2ZS5jb20vYXNpYS9hc2lhLW5ld3MvZ29vZ2xlLWF1c3RyYWxpYS1jaGllZi1lbnRlcnMtYWQtcmV2ZW51ZS1mdW5kaW5nLWZpZ2h0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.mobileworldlive.com', 'title': 'Mobile World Live'}",2020-06-01
Michigan salon owners 'disrespected' by Gov. Whitmer telling people to 'Google how to do a haircut' - WDIV ClickOnDetroit,Michigan salon owners 'disrespected' by Gov. Whitmer telling people to 'Google how to do a haircut'  WDIV ClickOnDetroit,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5jbGlja29uZGV0cm9pdC5jb20vbmV3cy9sb2NhbC8yMDIwLzA2LzAyL21pY2hpZ2FuLXNhbG9uLW93bmVycy1kaXNyZXNwZWN0ZWQtYnktZ292LXdoaXRtZXItdGVsbGluZy1wZW9wbGUtdG8tZ29vZ2xlLWhvdy10by1kby1hLWhhaXJjdXQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.clickondetroit.com', 'title': 'WDIV ClickOnDetroit'}",2020-06-01
GitHub Actions: How To Deploy To Google Kubernetes Engine - hackernoon.com,GitHub Actions: How To Deploy To Google Kubernetes Engine  hackernoon.com,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vaGFja2Vybm9vbi5jb20vZ2l0aHViLWFjdGlvbnMtaG93LXRvLWRlcGxveS10by1nb29nbGUta3ViZXJuZXRlcy1lbmdpbmUtZHY4cjN3ZDjSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hackernoon.com', 'title': 'hackernoon.com'}",2020-06-01
Google takes down smartphone service targeting Chinese apps - Financial Times,Google takes down smartphone service targeting Chinese apps  Financial Times,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzMyNjJkYjhjLThjMzEtNDczYi1hNWU4LTdhNWJmNThlMzc1ZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ft.com', 'title': 'Financial Times'}",2020-06-01
Twitter Names Ex-Google Exec Patrick Pichette Chairman - Variety,Twitter Names Ex-Google Exec Patrick Pichette Chairman  Variety,"Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vdmFyaWV0eS5jb20vMjAyMC9kaWdpdGFsL25ld3MvdHdpdHRlci1wYXRyaWNrLXBpY2hldHRlLW5hbWVkLWNoYWlybWFuLTEyMzQ2MjM0ODYv0gFdaHR0cHM6Ly92YXJpZXR5LmNvbS8yMDIwL2RpZ2l0YWwvbmV3cy90d2l0dGVyLXBhdHJpY2stcGljaGV0dGUtbmFtZWQtY2hhaXJtYW4tMTIzNDYyMzQ4Ni9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://variety.com', 'title': 'Variety'}",2020-06-01
"Tech CEOs from Apple, Google, Tesla react to George Floyd protests - Business Insider","Tech CEOs from Apple, Google, Tesla react to George Floyd protests  Business Insider","Tue, 02 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZ2VvcmdlLWZsb3lkLXByb3Rlc3RzLXJlYWN0aW9ucy10aW0tY29vay1lbG9uLW11c2stc3VuZGFyLXBpY2hhaS0yMDIwLTbSAWtodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuY29tL2dlb3JnZS1mbG95ZC1wcm90ZXN0cy1yZWFjdGlvbnMtdGltLWNvb2stZWxvbi1tdXNrLXN1bmRhci1waWNoYWktMjAyMC02P2FtcA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}",2020-06-01
